instancia,tipo_sede,alcaldia,sede,calle,numero_exterior,numero_interior,colonia,colonia_servicio_postal_mexicano,codigo_postal_servicio_postal_mexicano,referencia_de_ubicacion,latitud,longitud,dias_atencion,horario_ini,horario_fin,telefono_uno,telefono_dos,telefono_tres,telefono_cuatro
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia 75,Calle Digna Ochoa,56,Piso 4,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.424415,-99.1476,Lunes a viernes,09:00:00,23:59:00,53455125,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia 75 BIS,Calle Digna Ochoa,56,Piso 4,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.42433,-99.147664,Lunes a viernes,09:00:00,19:00:00,53455124,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia 75 TER,Calle Digna Ochoa,56,Piso 4,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.424301,-99.14768,Lunes a viernes,09:00:00,19:00:00,53455123,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia Especializada para la atención de personas Adultas Mayores Víctimas de Violencia Familiar,Calle Digna Ochoa,56,Planta Baja,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.424164,-99.147728,Lunes a Viernes,09:00:00,21:00:00,53455111,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Fiscalía Central de Investigación para la Atención del Delito de Trata de Personas,Calle Digna Ochoa,56,S/N,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.424022,-99.147616,Lunes a Domingo,00:00:00,23:59:00,53468480,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Fiscalía Central de Investigación para la Atención de Niños, Niñas y Adolescentes - Agencia A",Calle Digna Ochoa,56,Piso 2,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.423937,-99.147802,Lunes a viernes,09:00:00,19:00:00,53468866,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Fiscalía Central de Investigación para la Atención de Niños, Niñas y Adolescentes - Agencia B",Calle Digna Ochoa,56,Piso 2,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.42393,-99.147768,Lunes a viernes,09:00:00,19:00:00,53468325,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Fiscalía Central de Investigación para la Atención de Niños, Niñas y Adolescentes - Agencia D",Calle Digna Ochoa,56,Piso 2,Doctores,Doctores,06720,Edificio Bunker Cerca de metro Balderas,19.423926,-99.147701,Lunes a viernes,09:00:00,19:00:00,53468676,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Fiscalía de Investigación de Delitos Sexuales FDS-6,Calle Digna Ochoa,56,Piso 2,Doctores,Doctores,06720,Cerca Metro Balderas,19.424574,-99.147135,Lunes a Domingo,00:00:00,23:59:00,53455136,53468116,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Fiscalía de Investigación de Delitos Sexuales FDS-7,Calle Digna Ochoa,56,Piso 2,Doctores,Doctores,06720,Cerca Metro Balderas,19.424574,-99.147135,Lunes a Domingo,00:00:00,23:59:00,53458255,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Agencia ""A"" Sin detenido de Fiscalía de Delitos Sexuales",Calle Digna Ochoa,56,Piso 1,Doctores,Doctores,06720,Cerca Metro Balderas,19.424372,-99.147388,Lunes a Viernes,09:00:00,19:00:00,53468114,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,"Agencia ""B"" Sin Detenido de Fiscalía de Delitos Sexuales",Calle Digna Ochoa,56,Piso 1,Doctores,Doctores,06720,Cerca Metro Balderas,19.424372,-99.147388,Lunes a Viernes,09:00:00,19:00:00,53468114,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,CENTRO DE ATENCIÓN A LA VIOLENCIA INTRAFAMILIAR (CAVI),CUAUHTEMOC,Centro de Atención a la Violencia Intrafamiliar (CAVI),"Calle Digna Ochoa y Plácido, esquina con Avenida Río de la Loza",56.0,S/N,Doctores,Doctores,06720,Cerca Metro Balderas,19.424574,-99.147135,Lunes a Viernes,09:00:00,19:00:00,53455224,53455228,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,Centro de Investigación Victimológica y de Apoyo Operativo (CIVA),CUAUHTEMOC,Centro de Investigación Victimológica y de Apoyo Operativo (CIVA),"Calle Dr. Andrade, esquina con Calle Dr. Velasco",103.0,Piso 3,Doctores,Doctores,06720,Cerca Metro Doctores,19.419286,-99.146004,Lunes a Viernes,09:00:00,19:00:00,53455055,53455050,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,CENTRO DE TERAPIA DE APOYO A VÍCTIMAS DE DELITOS SEXUALES (CTA),BENITO JUAREZ,Centro de Terapia de Apoyo a Víctimas de Delitos Sexuales (CTA),"Calle Enrique Pestalozzi, esquina con Avenida Ángel Urraza",1115.0,S/N,Del Valle Centro,Del Valle Centro,03100,Entre Samuel Serrano y Eje 6 Ángel Urraza,19.381211,-99.161037,Lunes a Viernes,09:00:00,19:00:00,52009632,52009634,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,XOCHIMILCO,Coordinación Territorial XO-2,Calle Gladiolas esquina Cuitláhuac,S/N,S/N,Barrio San Pedro,San Pedro,16090,Frente al Deportivo Xochimilco,19.257612,-99.108268,Lunes a Domingo,00:00:00,23:59:00,52009131,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,MIGUEL HIDALGO,Coordinación Territorial MH-4 y MH-5,Calle las Huertas esquina General Fuero,S/N,S/N,Observatorio,Tacubaya,11860,Cerca del edificio de la Alcaldía Miguel Hidalgo,19.406996,-99.191383,Lunes a Domingo,00:00:00,23:59:00,53468284,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,CUAUHTEMOC,Coordinación Territorial CUH-1,Calle Lerdo,322,S/N,San Simón,San Simón Tolnáhuac,06920,"Cerca metro Tlatelolco, entre M. González y San Simón",19.456598,-99.140341,Lunes a Domingo,08:00:00,20:00:00,53468877,53468715,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,CUAUHTEMOC,Coordinación Territorial CUH-3,Calle Peralvillo,122,S/N,Morelos,Morelos,06200,Estación metrobús Peralvillo,19.451419,-99.131441,Lunes a Domingo,08:00:00,20:00:00,53468726,53468156,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,TLALPAN,Coordinación Territorial TLP-5,Calle Tetenco,9,S/N,San Miguel Topilejo,San Miguel Topilejo,14500,Dentro Sector SSC de Topilejo,19.197654,-99.143966,Lunes a Domingo,00:00:00,23:59:00,52009315,52009307,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,CUAUHTEMOC,Coordinación Territorial CUH-6,Calle Victoria,76,S/N,Centro (Área 1),Centro (Área 1),06000,Cerca metro Juárez,19.431765,-99.145762,Lunes a Domingo,08:00:00,20:00:00,53468720,53468722,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia del Ministerio Público Especializada en Atención a Personas Integrantes de la Comunidad LGBTTTI (Zarco y Violeta),Calle Zarco,S/N,S/N,Guerrero,Guerrero,06300,NA,19.441164,-99.146148,Lunes a Domingo,00:00:00,23:59:00,53468543,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,MIGUEL HIDALGO,Coordinación territorial MH-1,Calzada México Tacuba,S/N,S/N,Tacuba,Tacuba,11410,"Esquina Mar Arábigo, estación del Metro Tacuba",19.458851,-99.185431,Lunes a Domingo,00:00:00,23:59:00,53468215,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,IZTAPALAPA,Coordinación Territorial IZP-5,Campaña del Ébano y Revolución Social,S/N,S/N,U.h Vicente Guerrero,Unidad Vicente Guerrero,09200,Cerca de la Clinica del IMSS número 47,19.353586,-99.053906,Lunes a Domingo,00:00:00,23:59:00,56455685,56455696,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,COYOACAN,Coordinación Territorial Coy-5,Candelaria Pérez y Laura Méndez de Cuenca,S/N,S/N,Culhuacán Ctm,Culhuacán Ctm Sección V,04440,Frente al campo de Cherokees,19.319492,-99.100571,Lunes a Domingo,00:00:00,23:59:00,5552009397,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,TLALPAN,Coordinación Territorial TLP-1,Carretera Picacho-Ajusco,KM 4.5,S/N,Ampliación Miguel Hidalgo,Miguel Hidalgo,14250,A una cuadra del Hosp. Ajusco Medio,19.270928,-99.206269,Lunes a Domingo,00:00:00,23:59:00,52009320,52009338,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,CUAJIMALPA DE MORELOS,Coordinación Territorial CUJ-1 y CUJ-2,Cerrada de Ramírez y Castillo Ledón,S/N,S/N,Cuajimalpa Centro,Cuajimalpa,05000,"Esquina con calle Castillo Ledon, a un costado de sector de SSC Cuajimalpa",19.357693,-99.298387,Lunes a Domingo,00:00:00,23:59:00,53468790,53468791,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,GUSTAVO A. MADERO,Coordinación Territorial GAM-3,Cerrada Sur de los 100 metros,S/N,S/N,Industrial Vallejo,Nueva Vallejo,07750,Entre Calz. Vallejo y Eje Central,19.484433,-99.14481,Lunes a Domingo,00:00:00,23:59:00,53468085,53468082,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,GUSTAVO A. MADERO,Fiscalía de Investigación de Delitos Sexuales FDS-4,"Cerrada Sur de los Cien Metros, esquina Eje Central",S/N,S/N,Industrial Vallejo,Nueva Vallejo,07750,Metro Instituto del Petróleo,19.484476,-99.144861,Lunes a Domingo,00:00:00,23:59:00,53468042,53468043,NA,NA
